top - 22:07:21 up  4:28,  1 user,  load average: 1,49, 1,38, 1,69
Tareas: 447 total,   1 ejecutar,  445 hibernar,    0 detener,    1 zombie
%Cpu(s):  0,7 us,  2,6 sy,  2,2 ni, 94,0 id,  0,0 wa,  0,0 hi,  0,4 si,  0,0 st
MiB Mem :  64208,6 total,   2651,6 libre,   4995,4 usado,  56561,6 búfer/caché
MiB Intercambio:  20479,5 total,  17860,0 libre,   2619,5 usado.  54766,8 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
    769 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kdmfl
    800 root      20   0       0      0      0 S   0,0   0,0   0:01.26 jbd2/dm-1-8
    801 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ext4-
    802 root      20   0       0      0      0 I   0,0   0,0   0:09.70 kworker/u64:9-kcryptd/+
    855 root      32  12  167316  67584  67584 S   0,0   0,1   0:03.75 systemd-journal
    900 root      32  12   27572   3840   3712 S   0,0   0,0   0:00.21 systemd-udevd
   1074 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jbd2/nvme1n1-8
   1075 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ext4-
   1079 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-cfg80
   1080 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kdmfl
   1081 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kcryp
   1082 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kcryp
   1083 root      20   0       0      0      0 S   0,0   0,0   0:00.00 dmcrypt_write/252:2
   1084 root      20   0       0      0      0 S   0,0   0,0   0:00.22 jbd2/sda1-8
   1085 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ext4-
   1086 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-led_w
   1092 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/118-iwlwifi:defaul+
   1093 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/119-iwlwifi:queue_1
   1094 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/120-iwlwifi:queue_2
   1095 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/121-iwlwifi:queue_3
   1096 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/122-iwlwifi:queue_4
   1098 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/123-iwlwifi:queue_5
